tR_prediction	tR_target	dtR
6.827686	6.934	-0.10631416702270524
10.220218	10.243	-0.022782295227051108
11.698118	12.251	-0.5528817901611323
6.4409156	5.936	0.504915584564209
8.108924	7.609	0.49992391204833986
7.443343	7.888	-0.4446568374633788
10.554035	11.177	-0.6229648132324215
5.7145524	5.906	-0.1914475975036618
7.2849636	7.173	0.1119636077880859
5.922304	6.391	-0.4686958465576172
6.890044	7.096	-0.2059557876586915
5.938943	5.637	0.3019429092407231
6.452164	6.632	-0.17983582687377897
6.6023865	6.929	-0.32661352539062527
6.969782	7.149	-0.17921812438964846
7.360546	7.173	0.18754611206054683
4.314598	4.057	0.25759808349609337
6.276404	6.098	0.17840390396118178
6.1296964	6.308	-0.17830363082885725
10.11317	9.951	0.16216967010497996
9.811455	10.08	-0.2685452270507813
6.9450293	7.338	-0.39297074127197273
5.4756207	4.983	0.4926207466125492
7.923846	7.501	0.4228457679748532
6.018926	6.001	0.0179261436462399
6.53027	6.455	0.07527009963989251
5.722169	5.87	-0.1478310775756837
6.155204	6.001	0.154203819274902
4.419728	4.263	0.15672780227661143
9.631832	10.24	-0.6081678771972658
8.134324	8.432	-0.2976759262084965
6.1839733	6.254	-0.07002668762206987
4.904243	4.896	0.00824299240112314
9.199449	9.251	-0.05155141448974554
7.495548	7.676	-0.18045222854614273
8.024982	7.896	0.12898245239257822
5.9811525	5.618	0.36315253448486295
7.364659	7.536	-0.17134116744995076
3.8801332	3.454	0.42613315200805646
5.543853	5.584	-0.04014719390869104
4.771704	4.792	-0.020295803070068175
5.555503	5.827	-0.2714971084594726
5.613623	6.065	-0.45137685775756875
6.593574	6.886	-0.2924259529113771
6.5703654	6.949	-0.3786345710754393
8.331762	7.97	0.3617623138427737
7.6980767	7.635	0.06307672500610373
5.31769	5.169	0.14868989562988322
5.6149454	5.612	0.0029454116821288068
9.650665	8.936	0.7146652832031251
10.169093	9.938	0.23109313201904236
4.256482	3.683	0.5734821243286135
5.5935755	5.601	-0.0074245223999023224
6.121288	5.93	0.19128782272338896
5.826979	6.414	-0.5870208396911618
9.134066	9.283	-0.14893437194824166
7.7995524	7.237	0.5625524406433104
7.219874	6.919	0.30087390518188517
5.4374537	5.006	0.43145374679565407
6.84333	7.042	-0.19867009353637677
6.5884843	6.075	0.5134842872619627
9.078163	9.63	-0.5518368530273445
6.885953	6.564	0.3219529495239257
7.479865	7.495	-0.015134925842285263
8.123671	8.364	-0.24032942199707108
5.571908	5.109	0.46290799713134767
6.3005786	5.848	0.4525785942077638
4.982943	5.016	-0.033056941986084
7.53876	7.54	-0.0012398147583008168
8.116603	7.881	0.23560289764404274
8.027416	8.223	-0.19558377075195388
9.953255	10.127	-0.17374530029296942
9.388376	9.648	-0.2596237640380856
8.553569	9.04	-0.4864311599731437
6.4574666	6.402	0.05546660232543932
6.06543	5.665	0.40043016433715817
6.1307836	5.468	0.6627835578918457
6.183313	6.077	0.1063128929138184
9.45595	9.81	-0.3540502166748052
7.157873	7.343	-0.18512684631347653
5.148842	5.263	-0.11415814208984365
10.404993	10.762	-0.3570069427490239
8.840992	9.453	-0.6120080261230463
3.7843778	3.377	0.4073778133392336
9.591995	9.661	-0.06900476074218709
7.8781815	7.856	0.022181457519531378
4.989458	4.345	0.6444580841064456
11.854268	12.837	-0.9827319259643552
5.040178	4.173	0.8671778221130371
8.383161	8.599	-0.21583940887451192
7.619478	8.127	-0.5075217742919929
6.8538294	7.085	-0.2311706161499023
7.3909383	6.969	0.42193828201293915
8.8973255	9.218	-0.32067448425292966
7.580088	7.807	-0.22691186141967812
9.275397	9.52	-0.24460269927978473
4.7876415	4.424	0.3636415252685543
6.9898686	6.163	0.826868640899658
8.645927	9.087	-0.441072570800781
4.9838734	4.54	0.4438733673095703
8.423889	8.085	0.33888916015624915
6.2736654	5.734	0.5396654281616211
9.378823	9.769	-0.39017671966552747
6.5915365	6.632	-0.04046347808837858
5.737688	6.089	-0.3513119354248051
8.841419	9.058	-0.2165807800292967
6.4930024	6.715	-0.22199758529663072
6.670307	6.696	-0.025692840576171605
7.7022653	7.841	-0.13873473739624043
4.9625497	4.963	-0.00045031356811531253
8.489984	8.449	0.04098355865478531
7.1975007	7.098	0.09950070571899428
5.097707	4.378	0.7197067947387694
7.720192	7.815	-0.09480804443359414
6.149854	6.196	-0.046145816802978246
10.039399	10.716	-0.6766008529663079
9.980556	10.611	-0.6304444656372077
9.740099	9.355	0.3850989532470699
6.0079584	6.154	-0.14604158782958976
7.6730766	7.786	-0.11292337036132771
5.734665	6.433	-0.6983350830078123
7.190392	7.564	-0.3736079826354981
3.965011	3.79	0.17501088142395016
5.7494216	5.718	0.03142159652709964
7.301729	7.411	-0.10927079772949178
7.2800775	7.677	-0.3969225425720211
