score	mean	std	U.95	n	data
MAE	0.7176153801183107	0.05484837364339002	0.039236162868027905	10	[0.6556310310363771, 0.7787604043324788, 0.6653758369057865, 0.769178011894226, 0.6849580442137637, 0.7499221747080486, 0.7289993792388397, 0.7066148619333903, 0.7949883241168523, 0.6417257328033448]
RMSE	0.9492840263979835	0.08527466132351563	0.061001817883593705	10	[0.8396654765380812, 1.052690957545162, 0.8656806679698724, 1.03176196905938, 0.8932270560445102, 1.008409010251626, 0.911115983311179, 0.9925466907160736, 1.0462817294018063, 0.8514607231421425]
R2	0.7153421869952207	0.026571282233630703	0.01900795024679301	10	[0.7451424456379083, 0.6909677328875359, 0.7395225903830386, 0.6936970353035468, 0.7162244284307745, 0.711553444305251, 0.6970153650651544, 0.7266552922593436, 0.6754682943233412, 0.7571752413563116]
