Score	mean	std	U.95
MAE	0.748983261661242	0.15090637753424485	0.10795191932680573
RMSE	0.9779700296403264	0.19598861232935857	0.14020180732487816
R2	0.6658850561185481	0.0863923058083376	0.06180133258425088
