mean_fit_time	std_fit_time	mean_score_time	std_score_time	param_ccp_alpha	param_criterion	param_max_depth	param_max_features	param_n_estimators	param_random_state	params	split0_test_score	split1_test_score	split2_test_score	split3_test_score	split4_test_score	mean_test_score	std_test_score	rank_test_score	split0_train_score	split1_train_score	split2_train_score	split3_train_score	split4_train_score	mean_train_score	std_train_score
16.999028491973878	0.1673193283061377	0.016747522354125976	0.0026316340379589974	0.0	gini	10	1.0	50	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 50, 'random_state': 42}	0.648631444939529	0.7617834394904459	0.7254777070063694	0.6471337579617834	0.5605095541401274	0.668707180707651	0.0699446305811732	146	0.903343949044586	0.8883935679032001	0.895558032160484	0.903040917051425	0.895558032160484	0.8971788996640357	0.005564306943200821
34.187633180618285	0.40219057635338124	0.029208803176879884	0.0004034633176118019	0.0	gini	10	1.0	100	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 100, 'random_state': 42}	0.648631444939529	0.7649681528662421	0.7267515923566878	0.6426751592356688	0.5643312101910828	0.6694715119178422	0.07015333492205521	143	0.9047770700636942	0.8930106670912276	0.8984238178633975	0.9068619646553097	0.9006527622989969	0.9007452563945252	0.004876292548907318
51.57101430892944	0.49795350776632663	0.04380440711975098	0.0009583439586328754	0.0	gini	10	1.0	150	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 150, 'random_state': 42}	0.6543602800763845	0.7668789808917198	0.7242038216560509	0.6503184713375796	0.5605095541401274	0.6712542216203724	0.07061989380584857	132	0.907484076433121	0.895239611526827	0.8989014488138831	0.9063843337048241	0.8990606591307116	0.9014140259218733	0.00472280096479735
69.38424983024598	0.8078766332530503	0.05823550224304199	0.0010763715589496867	0.0	gini	10	1.0	200	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 200, 'random_state': 42}	0.6505410566518142	0.7662420382165606	0.7235668789808917	0.6528662420382165	0.5547770700636943	0.6695986571902355	0.07222143003957254	142	0.9065286624203822	0.8973093456455978	0.9001751313485113	0.9071803852889667	0.8996975003980258	0.9021782050202967	0.003945130623905362
87.22320966720581	0.8289188329054318	0.07200112342834472	0.0013303397850610939	0.0	gini	10	1.0	250	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 1.0, 'n_estimators': 250, 'random_state': 42}	0.6530872056015277	0.7668789808917198	0.7292993630573248	0.6535031847133758	0.5592356687898089	0.6724008806107514	0.07169386983068235	122	0.9065286624203822	0.8966725043782837	0.8990606591307116	0.9073395956057952	0.9006527622989969	0.902050836766834	0.004191518255600906
13.059629201889038	0.1471431126574071	0.015600633621215821	0.000329690514693722	0.0	gini	10	0.75	50	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.75, 'n_estimators': 50, 'random_state': 42}	0.6359007001909611	0.7751592356687899	0.7267515923566878	0.6426751592356688	0.5605095541401274	0.6681992483184469	0.07504740029238476	148	0.9047770700636942	0.887438306002229	0.892533036140742	0.8995382900811972	0.895558032160484	0.8959689468896693	0.0059172529472285825
25.91459150314331	0.28425804990827047	0.029881381988525392	0.0005675785623453232	0.0	gini	10	0.75	100	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.75, 'n_estimators': 100, 'random_state': 42}	0.6320814767663908	0.7713375796178344	0.7318471337579617	0.6547770700636942	0.567515923566879	0.671511836754552	0.07246445013581115	128	0.9073248407643312	0.8933290877248846	0.8998567107148543	0.9032001273682535	0.8981053972297405	0.9003632327604129	0.004719015559696004
38.94790587425232	0.41109471779405865	0.04417476654052734	0.0008703191082240669	0.0	gini	10	0.75	150	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.75, 'n_estimators': 150, 'random_state': 42}	0.6320814767663908	0.7757961783439491	0.7286624203821656	0.6528662420382165	0.5598726114649681	0.6698557857991381	0.0754896399517928	139	0.9079617834394904	0.8931698774080561	0.8998567107148543	0.9041553892692247	0.898264607546569	0.900681673675639	0.005059971421331973
52.136025524139406	0.5532826090096554	0.05864267349243164	0.0007648313341217708	0.0	gini	10	0.75	200	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.75, 'n_estimators': 200, 'random_state': 42}	0.6333545512412476	0.7745222929936306	0.7305732484076433	0.6522292993630573	0.5554140127388535	0.6692186809488865	0.07665456418305706	144	0.9085987261146496	0.8918961948734278	0.9003343416653399	0.9044738099028817	0.8990606591307116	0.900872746337402	0.005600186392290753
65.16918029785157	0.6640797957951587	0.07254390716552735	0.0008523511673054853	0.0	gini	10	0.75	250	42	{'ccp_alpha': 0.0, 'criterion': 'gini', 'max_depth': 10, 'max_features': 0.75, 'n_estimators': 250, 'random_state': 42}	0.630808402291534	0.778343949044586	0.7337579617834394	0.6535031847133758	0.5598726114649681	0.6712572218595806	0.07711258509792347	130	0.9073248407643312	0.8942843496258558	0.8984238178633975	0.9054290718038529	0.898264607546569	0.9007453375208012	0.004868574104791918
