formula	z	exactMW	u_exactMW
+H-C4H9ON	1	-86.0611374617491	3.9703508391752E-09
+H-C4H9NO	1	-86.0611374617491	3.9703508391752E-09
-H-C4H5O2	-1	-86.036230852611	5.46543434358603E-09
+H-C3H5O2N	1	-86.0247519523991	6.12779492126703E-09
+H-C3H5NO2	1	-86.0247519523991	6.12779492126703E-09
-H-C3H3NO2	-1	-86.0236547925809	6.12779492126703E-09
-H-C3H3O2N	-1	-86.0236547925809	6.12779492126703E-09
+H-C2HNOS	1	-85.9706083783091	4.49307831893132E-08
-H-C6H12	-1	-85.1011768390809	1.1791552877091E-09
+H-C4H10N2	1	-85.0771218788391	5.66040468807691E-09
-H-C4H8N2	-1	-85.0760247190209	5.66040468807691E-09
+H-C5H10O	1	-85.0658884895491	2.83903257617805E-09
-H-C5H8O	-1	-85.0647913297309	2.83903257617805E-09
+H-C3H6ON2	1	-85.0407363694891	6.24284809815902E-09
+H-C4H6O2	1	-85.0295029801991	5.4571487690563E-09
-H-C4H4O2	-1	-85.0284058203809	5.4571487690563E-09
+H-C5H11N	1	-84.0818729066391	2.94383583312133E-09
+H-C4H7NO	1	-84.0454873972891	3.94123362214162E-09
+H-C4H7ON	1	-84.0454873972891	3.94123362214162E-09
+H-C3H3NO2	1	-84.0091018879391	6.11973393695957E-09
+H-C3H3O2N	1	-84.0091018879391	6.11973393695957E-09
+H-C6H12	1	-83.0866239344391	9.977467819077E-10
+H-C4H8N2	1	-83.0614718143791	5.63710110473339E-09
+H-C5H8O	1	-83.0502384250891	2.7922810748174E-09
+H-CH8O4	1	-83.0349822837991	1.08950585319328E-08
+H-CH5FO3	1	-83.0149957302691	1.92918106727629E-08
+H-C4H4O2	1	-83.0138529157391	5.44507451773659E-09
+H-C4H4S	1	-82.9960948509991	4.47617267574432E-08
-H-H3O3P	-1	-82.9892574061409	2.31682572308756E-08
-H-H2SO3	-1	-82.979741549891	4.54989611133714E-08
+H-C5H9N	1	-82.0662228421791	2.89309315414752E-09
-2H+Li-C3H5NO2	-1	-82.0311264526709	3.21654089159406E-08
+H-C4H5NO	1	-82.0298373328291	3.92030320694893E-09
+H-C6H10	1	-81.0709738699791	8.163382761063E-10
+H-C2H10O3	1	-81.0557177286891	8.19815151537905E-09
-H-C2H8O3	-1	-81.054620568871	8.19815151537905E-09
+H-C4H6-CO	1	-81.0345883606291	2.75669717686234E-09
+H-CH6O4	1	-81.0193322193391	1.08859931167708E-08
-H-CH4O4	-1	-81.0182350595209	1.08859931167708E-08
+H-H3PO3	1	-80.9747045014991	2.31661264776416E-08
+H-H3O3P	1	-80.9747045014991	2.31661264776416E-08
-H-CHClO2	-1	-80.9737834056909	1.29385899091015E-06
-H-HO3P	-1	-80.9736073416809	2.31661264776416E-08
+H-H2SO3	1	-80.9651886452491	4.54982378153718E-08
-H-O3S	-1	-80.9640914854309	4.54982378153718E-08
-H-SO3	-1	-80.9640914854309	4.54982378153718E-08
+H-H2OS2	1	-80.9474305805091	8.95631312140621E-08
+H-C2H8FNO	1	-80.0517155922491	1.79203604769957E-08
+Li-C3H5NO2	1	-80.0165735480291	3.21623394120174E-08
+H-H3SO2N	1	-79.9811730623391	4.51773093534103E-08
+H-NH3-SO2	1	-79.9811730623391	4.51773093534103E-08
+H-HSO3	1	-79.9573636130191	4.54981474023134E-08
+H-ClO2N	1	-79.9544794732491	1.29386201239564E-06
+H-ClNO2	1	-79.9544794732491	1.29386201239564E-06
+H-C6H8	1	-79.0553238055191	6.349297703049E-10
-H-C6H6	-1	-79.0542266457009	6.349297703049E-10
+H-C2H8O3	1	-79.0400676642291	8.18207894738831E-09
+H-C4H4N2	1	-79.0301716854591	5.60783544740887E-09
+H-C2H5FO2	1	-79.0200811106991	1.83086173725901E-08
+H-C2H7ClN	1	-79.0194254597191	1.29385069474167E-06
+H-CH4O4	1	-79.0036821548791	1.08799453102703E-08
+H-CH4O2S	1	-78.9859240901391	4.5090874614031E-08
+H-CH4SO2	1	-78.9859240901391	4.5090874614031E-08
-H-CH2O2S	-1	-78.9848269303209	4.5090874614031E-08
-H-CH2SO2	-1	-78.9848269303209	4.5090874614031E-08
+H-H2NO2S	1	-78.9733480301091	4.51770361868644E-08
+H-CHClO2	1	-78.9592305010491	1.29385897819275E-06
+H-HO3P	1	-78.9590544370391	2.31654161830111E-08
+H-O3S	1	-78.9495385807891	4.54982378153718E-08
+H-SO3	1	-78.9495385807891	4.54982378153718E-08
+H-HBr	1	-78.9188861799091	0.00011048567264
-Br	1	-78.9188861799091	0.00011048567264
+H-C5H5N	1	-78.0349227132591	2.82401831560104E-09
+H-CH5O3N	1	-78.0196665719691	8.63240172460282E-09
+H-CH3O2S	1	-77.9780990579091	4.50904184628042E-08
+H-Br	1	-77.9110611476791	0.000110485672640037
+H-C3H10O2	1	-77.0608031091191	5.49919988100924E-09
-H-C3H8O2	-1	-77.0597059493009	5.49919988100924E-09
+H-C3H7FO	1	-77.0408165555891	1.76971444578808E-08
+H-C6H6	1	-77.0396737410591	4.535212645035E-10
-H-C6H4	-1	-77.0385765812409	4.535212645035E-10
+H-C2H8SN	1	-77.0304689843491	4.48529231603775E-08
+H-C2H6O3	1	-77.0244175997691	8.17000377144542E-09
-H-C2H4O3	-1	-77.0233204399509	8.17000377144542E-09
+H-CH4NO3	1	-77.0118415397391	8.62906534362012E-09
+H-C2H6OS	1	-77.0066595350291	4.48457078913856E-08
+H-CH3ClN2	1	-76.9911993352291	1.2938596861101E-06
+H-CH2O2S	1	-76.9702740256791	4.50901447698531E-08
+H-C3H11NO	1	-76.0767875262091	4.00747641289791E-09
+H-C3H7NH2-H2O	1	-76.0767875262091	4.00747641289791E-09
