formula	z	exactMW	u_exactMW
+H-CH7ON	1	-48.0454873972891	3.94123362214162E-09
-H-CH5NO	-1	-48.0443902374709	3.94123362214162E-09
-H-HNO2	-1	-48.0080047281209	6.11973393695957E-09
+H-3CH4	1	-47.0866239344391	9.977467819077E-10
+H-C2H8O	1	-47.0502384250891	2.7922810748174E-09
-H-C2H6O	-1	-47.0491412652709	2.7922810748174E-09
+H-CH4O2	1	-47.0138529157391	5.44507451773659E-09
-H-CH2O2	-1	-47.0127557559209	5.44507451773659E-09
+H-HFN2	1	-47.0050997514991	1.83540953417353E-08
+H-CH4S	1	-46.9960948509991	4.47617267574432E-08
-H-CH2S	-1	-46.9949976911809	4.47617267574432E-08
+H-HF-CO	1	-46.9938663622091	1.76887744219126E-08
+H-OS	1	-46.9597093416491	4.48435063526886E-08
-H-C2H7N	-1	-46.0651256823609	2.89309315414752E-09
+H-CH5ON	1	-46.0298373328291	3.92030320694893E-09
+H-CH5NO	1	-46.0298373328291	3.92030320694893E-09
-H-CH3NO	-1	-46.0287401730109	3.92030320694893E-09
-CH2O2	-1	-46.0049307236909	5.44129581958498E-09
+H-HNO2	1	-45.9934518234791	6.11704458159311E-09
+H-C2H6O	1	-45.0345883606291	2.75669717686234E-09
+H-C2H4-H2O	1	-45.0345883606291	2.75669717686234E-09
-H-C2H4O	-1	-45.0334912008109	2.75669717686234E-09
+H-CH2O2	1	-44.9982028512791	5.43902734059594E-09
+H-HCO2H	1	-44.9982028512791	5.43902734059594E-09
+H-H2O-CO	1	-44.9982028512791	5.43902734059594E-09
-H-CO2	-1	-44.9971056914609	5.43902734059594E-09
+H-O2N	1	-44.9856267912491	6.11771703127007E-09
+H-NO2	1	-44.9856267912491	6.11771703127007E-09
+H-CH2S	1	-44.9804447865391	4.47609915463907E-08
+H-NH3-C2H4	1	-44.0505727777191	2.85300274741115E-09
+H-2(CH3)-NH	1	-44.0505727777191	2.85300274741115E-09
+H-C2H7N	1	-44.0505727777191	2.85300274741115E-09
-H-C2H3O	-1	-44.0256661685809	2.74323421739237E-09
+H-H3N3	1	-44.0254206576591	8.40380261622396E-09
-H-HN3	-1	-44.0243234978409	8.40380261622396E-09
+H-CH3NO	1	-44.0141872683691	3.90769114650618E-09
+H-CH3ON	1	-44.0141872683691	3.90769114650618E-09
-H-CHNO	-1	-44.0130901085509	3.90769114650618E-09
-H-CHON	-1	-44.0130901085509	3.90769114650618E-09
-H-CONH	-1	-44.0130901085509	3.90769114650618E-09
+H-COOH	1	-43.9903778190491	5.4382709706538E-09
-CO2	-1	-43.9892806592309	5.4382709706538E-09
-C3H7	1	-43.0553238055191	6.349297703049E-10
+H-C3H8	1	-43.0553238055191	6.349297703049E-10
-H-C3H6	-1	-43.0542266457009	6.349297703049E-10
+H-CH4N2	1	-43.0301716854591	5.60783544740887E-09
-H-CH2N2	-1	-43.0290745256409	5.60783544740887E-09
+H-C2H4O	1	-43.0189382961691	2.73271717179302E-09
-H-C2H2O	-1	-43.0178411363509	2.73271717179302E-09
+H-CO2	1	-42.9825527868191	5.43902734059594E-09
+H-C3H7	1	-42.0474987732891	5.442255174042E-10
-H-C3H5	-1	-42.0464016134709	5.442255174042E-10
+H-C2H5N	1	-42.0349227132591	2.82401831560104E-09
-H-C2H3N	-1	-42.0338255534409	2.82401831560104E-09
+H-C2H3O	1	-42.0111132639391	2.72518014698865E-09
-C2H2O	-1	-42.0100161041209	2.72518014698865E-09
+H-HN3	1	-42.0097705931991	8.401844402658E-09
+H-CHNO	1	-41.9985372039091	3.90347807096513E-09
+H-CHON	1	-41.9985372039091	3.90347807096513E-09
+H-C3H6	1	-41.0396737410591	4.535212645035E-10
-H-H2F2	-1	-41.0197328422409	3.49581208934408E-08
+H-CH2N2	1	-41.0145216209991	5.60196396929338E-09
+H-C2H2O	1	-41.0032882317091	2.72064790979249E-09
+H-C2H3N	1	-40.0192726487991	2.8064839762448E-09
+H-H2F2	1	-39.0051799375991	3.49571794958985E-08
-H-2H2O	-1	-37.0284058203809	5.4571487690563E-09
+H-H3FO	1	-37.0095164266691	1.76897046214821E-08
-H-HCl	-1	-36.9839541665509	1.29384756195151E-06
+H-H4FN	1	-36.0255008437591	1.77035739718887E-08
-HCl  	-1	-35.9761291343209	1.29384755241338E-06
+H-2H2O	1	-35.0138529157391	5.44507451773659E-09
+H-2(H2O)	1	-35.0138529157391	5.44507451773659E-09
-H-H2S	-1	-34.9949976911809	4.47617267574432E-08
-Cl	1	-34.9694012619091	1.293847549234E-06
+H-HCl	1	-34.9694012619091	1.293847549234E-06
+H-H2O-NH3	1	-34.0298373328291	3.92030320694893E-09
+H-H5ON	1	-34.0298373328291	3.92030320694893E-09
-H-H3NO	-1	-34.0287401730109	3.92030320694893E-09
-H-H3ON	-1	-34.0287401730109	3.92030320694893E-09
+H-Cl	1	-33.9615762296791	1.29384755241338E-06
-H-H4N2	-1	-33.0447245901009	5.61955999960173E-09
+H-CH6O	1	-33.0345883606291	2.75669717686234E-09
-CH5O	1	-33.0345883606291	2.75669717686234E-09
-H-CH4O	-1	-33.0334912008109	2.75669717686234E-09
+H-H2O2	1	-32.9982028512791	5.43902734059594E-09
+H-H2S	1	-32.9804447865391	4.47609915463907E-08
-H-CH5N	-1	-32.0494756179009	2.85300274741115E-09
+H-CH5O	1	-32.0267633283991	2.74323421739237E-09
-CH4-O	1	-32.0267633283991	2.74323421739237E-09
-CH4O	-1	-32.0256661685809	2.74323421739237E-09
+H-NH2OH	1	-32.0141872683691	3.90769114650618E-09
+H-H3ON	1	-32.0141872683691	3.90769114650618E-09
+H-H3NO	1	-32.0141872683691	3.90769114650618E-09
-H-HNO	-1	-32.0130901085509	3.90769114650618E-09
+H-HS	1	-31.9726197543091	4.476089964416E-08
+H-2CH4	1	-31.0553238055191	6.349297703049E-10
-H-C2H6	-1	-31.0542266457009	6.349297703049E-10
+H-CH6N	1	-31.0427477454891	2.83709795394847E-09
+H-CH4O	1	-31.0189382961691	2.73271717179302E-09
+H-CH3OH	1	-31.0189382961691	2.73271717179302E-09
-H-CH2O	-1	-31.0178411363509	2.73271717179302E-09
-H-HCHO	-1	-31.0178411363509	2.73271717179302E-09
-H-NO	-1	-31.0052650763209	3.90453176603802E-09
-H-ON	-1	-31.0052650763209	3.90453176603802E-09
-H-C2H5	-1	-30.0464016134709	5.442255174042E-10
+H-CH5N	1	-30.0349227132591	2.82401831560104E-09
+H-CH3NH2	1	-30.0349227132591	2.82401831560104E-09
-H-CH3N	-1	-30.0338255534409	2.82401831560104E-09
-CH2O	1	-30.0111132639391	2.72518014698865E-09
+H-HNO	1	-29.9985372039091	3.90347807096513E-09
+H-C2H6	1	-29.0396737410591	4.535212645035E-10
-H-C2H4	-1	-29.0385765812409	4.535212645035E-10
+H-CH2O	1	-29.0032882317091	2.72064790979249E-09
+H-H2-CO	1	-29.0032882317091	2.72064790979249E-09
+H-CO-H2	1	-29.0032882317091	2.72064790979249E-09
-H-CO	-1	-29.0021910718909	2.72064790979249E-09
+H-ON	1	-28.9907121716791	3.90453176603802E-09
+H-NO	1	-28.9907121716791	3.90453176603802E-09
+H-C2H5	1	-28.0318487088291	3.628170116028E-10
+H-CH3N	1	-28.0192726487991	2.8064839762448E-09
-H-HCN	-1	-28.0181754889809	2.8064839762448E-09
-C-O	1	-27.9954631994791	2.7191354853269E-09
-CO	-1	-27.9943660396609	2.7191354853269E-09
+H-C2H4	1	-27.0240236765991	2.721127587021E-10
-H-C2H2	-1	-27.0229265167809	2.721127587021E-10
+H-CH2N	1	-27.0114476165691	2.80208324723517E-09
+H-N2	1	-26.9988715565391	5.60196396929338E-09
+H-CO	1	-26.9876381672491	2.72064790979249E-09
+H-HCN	1	-26.0036225843391	2.800614800886E-09
+H-CHN	1	-26.0036225843391	2.800614800886E-09
-H-H4O	-1	-21.0334912008109	2.75669717686234E-09
-H-HF	-1	-21.0135046472809	1.74794722977475E-08
-2H+3Na-C3H5NO2	1	-20.0789192030891	1.31185915987947E-07
-2H-H2O	-2	-20.0251175886719	2.74323421739237E-09
-H-H2O	-1	-19.0178411363509	2.73271717179302E-09
+H-HF	1	-18.9989517426391	1.74785309097116E-08
-H-NH3	-1	-18.0338255534409	2.82401831560104E-09
-HOH	1	-18.0111132639391	2.72518014698865E-09
-H-HO	-1	-18.0100161041209	2.72518014698865E-09
-H2O	-1	-18.0100161041209	2.72518014698865E-09
-CH5	1	-17.0396737410591	4.535212645035E-10
-H-CH4	-1	-17.0385765812409	4.535212645035E-10
-H3N	1	-17.0270976810291	2.81380322986349E-09
+H-H2O	1	-17.0032882317091	2.72064790979249E-09
-HO	-1	-17.0021910718909	2.72064790979249E-09
-H-O	-1	-17.0021910718909	2.72064790979249E-09
+H-HCl+H2O	1	-16.9588365778791	1.29385041920064E-06
-C-H4	1	-16.0318487088291	3.628170116028E-10
-CH4	-1	-16.0307515490109	3.628170116028E-10
-H-CH3	-1	-16.0307515490109	3.628170116028E-10
+H-NH3	1	-16.0192726487991	2.8064839762448E-09
+2H-H2O	2	-15.9960117793881	2.7191354853269E-09
+H-OH	1	-15.9954631994791	2.7191354853269E-09
+H-HO	1	-15.9954631994791	2.7191354853269E-09
+H-CH4	1	-15.0240236765991	2.721127587021E-10
-CH3	1	-15.0240236765991	2.721127587021E-10
+2H-NH3	2	-15.0119961964781	2.80208324723517E-09
+H-CH3	1	-14.0161986443691	1.814085058014E-10
-CH2	-1	-14.0151014845509	1.814085058014E-10
-CH2-H	-1	-15.022927	2.72E-10
+H-CH3OH+H2O	1	-13.0083736121391	9.07042529007E-11
+H-CH2	1	-13.0083736121391	9.07042529007E-11
+Na-H2S	1	-10.9985005367691	6.25424856463146E-08
+Li-H2O	1	-10.9951098273391	3.16894109654439E-08
+H-CO-H2+H2O	1	-10.9927235476791	9.07042529007E-11
-4H	-4	-4.02910580928374	3.628170116028E-10
-H-H2	-1	-3.02292651678093	2.721127587021E-10
-3H	-3	-3.0218293569628	2.721127587021E-10
-H-H	-1	-2.01510148455093	1.814085058014E-10
-2H	-2	-2.01455290464187	1.814085058014E-10
+H-H2	1	-1.00837361213907	9.07042529007E-11
-H	-1	-1.00727645232094	9.07042529007E-11
+	1	-0.000548579909065	1.6E-14
	0	0	0
+H-H	1	-0.000548579909065	0
-	-1	0.000548579909065	1.6E-14
+NH4-H2O	1	0.0232608694109331	3.90769114650618E-09
+H	1	1.00727645232094	9.07042529007E-11
+Na-3H-H2O	-2	1.95682666109813	4.3767463304878E-08
+2H	2	2.01455290464187	1.814085058014E-10
+Na-2H-H2O	-1	2.96410311341907	4.37666174017412E-08
+H-CH4+H2O	1	2.98654100743093	2.72064790979249E-09
+3H	3	3.0218293569628	2.721127587021E-10
+4H	4	4.02910580928374	3.628170116028E-10
+Na-H2O	1	4.97865601806094	4.37654895054593E-08
-H2O+Na	1	4.97865601806094	4.37654895054593E-08
-2H+Li	-1	5.00090195204907	3.15725366346962E-08
+H-CH2+H2O	1	5.00219107189094	2.72064790979249E-09
+5H	5	5.03638226160468	4.535212645035E-10
+H+Na-H2O	2	5.98593247038187	4.3765207526847E-08
+6H	6	6.04365871392561	5.442255174042E-10
+Li	1	7.01545485669094	3.15720154647E-08
+7H	7	7.05093516624654	6.349297703049E-10
+8H	8	8.05821161856748	7.256340232056E-10
+9H	9	9.06548807088842	8.163382761063E-10
-H+2Na-H2S	1	10.9834437130009	9.81609802395214E-08
+H-H2O+N2	1	11.0028597771509	6.22701357801837E-09
+H-NH3+N2	1	11.9868753600609	2.8064839762448E-09
+2Li-H	1	13.0236332610609	6.31440960761536E-08
-H+OH	-2	15.9960117793881	2.7191354853269E-09
-H+NH3	-1	16.0192726487991	2.8064839762448E-09
+H+O	1	17.0021910718909	2.72064790979249E-09
+H-H2+H2O	1	17.0021910718909	2.72064790979249E-09
-H+H2O	-1	17.0032882317091	2.72064790979249E-09
+OH	-1	17.0032882317091	2.72064790979249E-09
-5H+Na	-4	17.9528384404863	4.36829159552826E-08
+NH4	1	18.0338255534409	2.82401831560104E-09
-4H+Na	-3	18.9601148928072	4.36820684148866E-08
+H+H2O	1	19.0178411363509	2.73271717179302E-09
-2H+3Li	1	19.0318116654309	9.47162201187066E-08
+H+NH4	2	19.0411020057619	2.83709795394847E-09
+Na-3H	-2	19.9673913451281	4.36814092054317E-08
-3H+Na	-2	19.9673913451281	4.36814092054317E-08
-2H+Na	-1	20.9746677974491	4.36809383354445E-08
+Na-2H	-1	20.9746677974491	4.36809383354445E-08
+H+K-H2O	2	21.9598696747819	1.90941545466356E-07
+Na	1	22.9892207020909	4.36805616358E-08
+H+Na	2	23.9964971544119	4.36806558110157E-08
+2H+Na	3	25.0037736067328	4.36809383354445E-08
+2Na-H-H2O	1	26.9606002678309	8.74038534757862E-08
+2Na-H2O	2	27.9678767201519	8.74036181522781E-08
+CH3OH+H	1	33.0334912008109	2.75669717686234E-09
+HOO	-1	32.998203	5.44E-09
-H+Cl	-2	33.9621248095881	1.29384755241338E-06
+Cl	-1	34.9694012619091	1.293847549234E-06
-H+2H2O	-1	35.0138529157391	5.44507451773659E-09
-H+2(H2O)	-1	35.0138529157391	5.44507451773659E-09
+K-3H	-2	35.9413285495281	1.90922355698292E-07
-2H+K	-1	36.9486050018491	1.90922247967798E-07
+K-2H	-1	36.9486050018491	1.90922247967798E-07
+K	1	38.9631579064909	1.9092216178336E-07
+H+K	2	39.9704343588119	1.90922183329473E-07
-5H+2Na	-3	40.9420591425772	8.73623004551337E-08
+2H+K	3	40.9777108111328	1.90922247967798E-07
+2Na-4H	-2	41.9493355948981	8.73618766708889E-08
-4H+2Na	-2	41.9493355948981	8.73618766708889E-08
+CH3CN+H	1	42.0338255534409	2.82401831560104E-09
+CH3CN+2H	2	43.0411020057619	2.83709795394847E-09
-H+HCO2	-2	43.9909263989581	5.4382709706538E-09
-H+2Na	1	44.9711649518609	8.73611703592459E-08
+2Na-H	1	44.9711649518609	8.73611703592459E-08
+CH2O2-H	-1	44.9982028512791	5.43902734059594E-09
+HCO2	-1	44.9982028512791	5.43902734059594E-09
+2Na	2	45.9784414041819	8.73611232716E-08
+H+2Na	3	46.9857178565028	8.73611703592459E-08
+Na+CH3OH	1	55.0154354505809	4.37666174017412E-08
-H+Ni	1	56.9269687978609	3.01263780533365E-05
-H+Co	1	57.9248206778609	3.30025888025246E-05
+CH3COOH-H	-1	59.0138529157391	5.44507451773659E-09
+C2H3O2	-1	59.0138529157391	5.44507451773659E-09
+CH3CO2	-1	59.0138529157391	5.44507451773659E-09
+C3H8O+H	1	61.0647913297309	2.83903257617805E-09
+NO3	-1	61.9883664430491	8.62477381448449E-09
-6H+3Na	-3	62.9240033923472	1.31042815006333E-07
+CH3CN+Na	1	64.0157698032109	4.37710972381926E-08
-2H+3Na	1	66.9531092016309	1.31041810474429E-07
+3Na	3	68.9676621062728	1.310416849074E-07
+2Cl	-2	69.9388025238181	2.587695098468E-06
+2K-4H	-2	73.8972100036981	3.81844495935597E-07
+2K-H	1	76.9190393606609	3.81844334339777E-07
-H+2K	1	76.9190393606609	3.81844334339777E-07
+2K	2	77.9263158129819	3.8184432356672E-07
+Br	-1	78.9188861799091	0.00011048567264
+H+2K	3	78.9335922653028	3.81844334339777E-07
+C2H6SO+H	1	79.0212124396709	4.48479093220113E-08
-2H+Na+Co	1	79.906764927631	3.30026177095798E-05
+ClO3	-1	82.9541451206191	1.29387326424921E-06
+2(CH3CN)+H	1	83.0603746545609	5.63710110473339E-09
+C3H8O+Na+H	1	84.0545606117309	4.37727263348712E-08
+2(CH3CN)+2H	2	84.0676511068819	5.64803663120207E-09
-6H+4Na	-2	85.9132240944381	1.74723094118999E-07
+ClO4	-1	98.9490597401891	1.29389326446327E-06
+C2HF3O2-H	-1	112.985587307239	5.27168490712974E-08
+C2F3O2	-1	112.985587307239	5.27168490712974E-08
-2H+3K	1	114.874920814831	5.72766514078232E-07
+C6H6N3+2H	2	122.070725111312	8.43312125503417E-09
+3(CH3CN)+2H	2	125.094200208002	8.460879860114E-09
+KSO4	-1	134.915984718989	1.96400379738908E-07
+Ba-H	1	136.896873387861	4.27506265700962E-05
-5H+7Na	2	155.888162653032	3.05764267790834E-07
+[M]-H	-1		
+[M]+H	1		
-6H+8Na	2	177.870106902802	3.4944491687507E-07
+[M]+NH4	1		
+[M]-2H+Na	-1		
+[M]+Na	1		
+[M]+CH3OH+H	1		
+[M]-H+2NH4	1		
+[M]-2H+K	-1		
+[M]+K	1		
+[M]+CH3CN+H	1		
+[M]-3H+2Na	-1		
+[M]-H+2Na	1		
+[M]+HCOOH-H	-1		
+[M]+3(H2O)+H	1		
+[M]+CH3COOH-H	-1		
+[M]+CH3CN+Na	1		
+[M]-4H+3Na	-1		
+[M]-2H+3Na	1		
+[M]+ClO3	-1		
+[M]+ClO4	-1		
+[M]+KSO4	-1		
+2[M]-H	-1		
+2[M]+H	1		
+2[M]+Na	1		
+2[M]+K	1		
+2[M]-3H+2Na	-1		
+2[M]+ClO3	-1		
+2[M]+ClO4	-1		
+3[M]-H	-1		
+3[M]+Na	1		
+3[M]+K	1		
+3[M]+NO3	-1		
+4[M]-H	-1		
+4[M]+Na	1		
+4[M]+NO3	-1		
