tR_pred_mean	tR_pred_std	tR_exp_mean	tR_exp_std	n	RMSError	U.95	tR_lb	tR_ub	RMSE_model
3.369873064411547	0.15554700050259665	3.5389701702442635	0.2879355803586881	13510	0.33918136080117284	0.6648428191713338	2.705030245240213	4.034715883582881	0.981450696436242
3.579659843993994	0.014220903095589108	3.642985285285285	0.3637634441226301	3330	0.3689297164596981	0.7233519532531517	2.8563078907408426	4.303011797247146	0.981450696436242
3.629729873267813	0.014478590925498322	3.688908353808354	0.39496929920292007	4070	0.39928700390492944	0.7828210038953537	2.8469088693724593	4.4125508771631665	0.981450696436242
3.6796166070947365	0.014437021098989762	3.7060033684210527	0.39908969115322557	4750	0.4002193468353917	0.7846154776554317	2.8950011294393048	4.464232084750169	0.981450696436242
3.7295503505482457	0.014350827242638005	3.721575292397661	0.41030134593520873	5472	0.41030851874038266	0.8043678711744722	2.9251824793737735	4.533918221722718	0.981450696436242
3.7794685850219545	0.014341760120891524	3.7374976418929906	0.41891247636263856	6149	0.4209626156161743	0.8252340297901716	2.954234555231783	4.604702614812126	0.981450696436242
3.829217727772199	0.014505752087058807	3.7477046334815665	0.42988821756831785	6971	0.437654187747559	0.8579354286940744	2.9712822990781245	4.687153156466273	0.981450696436242
3.8790609590176923	0.014401232434150231	3.7637663057829416	0.44644827129370485	7574	0.4611580356435291	0.903997623260601	2.9750633357570915	4.783058582278294	0.981450696436242
3.9292960205109217	0.014446613659204063	3.7736929532272	0.45939380759876164	8103	0.48494270255585326	0.9506122439892457	2.978683776521676	4.879908264500168	0.981450696436242
3.9791727280415783	0.014441833440016611	3.7823929836995043	0.47031155318956636	8466	0.5099955763718671	0.9997159056021465	2.979456822439432	4.978888633643725	0.981450696436242
4.028671081599087	0.01439180578496683	3.786488635065677	0.4866162848527959	8755	0.5433628375982977	1.0651188596780048	2.963552221921082	5.093789941277091	0.981450696436242
4.128747205928946	0.01441657521173531	3.800972393709959	0.5102951830705608	8585	0.6064808461537025	1.1888482458422724	2.939898960086673	5.3175954517712185	0.981450696436242
4.078838570148225	0.01431480949700713	3.8012255544065265	0.5017506461363699	8703	0.5733582172020267	1.123917781765275	2.9549207883829496	5.2027563519135	0.981450696436242
4.178724350765661	0.014397234513874316	3.8199834106728536	0.5264475861705218	8620	0.6370874791867613	1.2488438887230198	2.9298804620426413	5.42756823948868	0.981450696436242
4.228817530513667	0.014451663050084603	3.843065386427898	0.5394647885871994	8488	0.6631341516086006	1.2999044381446636	2.9289130923690037	5.52872196865833	0.981450696436242
4.278712031697564	0.014556895942197211	3.84347582697201	0.5512750151424829	8253	0.7025594077569532	1.377193135936704	2.9015188957608604	5.655905167634268	0.981450696436242
4.328780095733671	0.014388574400959264	3.8845684222631096	0.5605139261854389	8696	0.7152035986908496	1.4019684519317592	2.9268116438019116	5.73074854766543	0.981450696436242
4.379203976818234	0.014484808815361157	3.9263863245905397	0.575807469287224	8731	0.7324515332893101	1.4357776875849892	2.9434262892332446	5.8149816644032235	0.981450696436242
4.429139048814444	0.01449156742688527	3.952680226234501	0.5969615689025214	9194	0.7637416024250007	1.4971031447388443	2.9320359040756	5.926242193553288	0.981450696436242
4.478719919604224	0.014432979189186831	4.011703475853584	0.6166307481286946	9753	0.7732460132093024	1.5157224598327637	2.96299745977146	5.994442379436988	0.981450696436242
4.529282049524354	0.0143923246487012	4.080869767884323	0.6346303939419161	10512	0.7770103363531128	1.5230876614085678	3.006194388115786	6.052369710932922	0.981450696436242
4.5793278336325605	0.01446313881495245	4.15784835279763	0.6693999891832326	11474	0.7907859576695075	1.5500755242151263	3.0292523094174344	6.1294033578476865	0.981450696436242
4.629149256205466	0.01445402429416662	4.227495575914181	0.6820159706493955	12771	0.791003022997861	1.5504843943386604	3.0786648618668053	6.179633650544126	0.981450696436242
4.679124034106498	0.01432013984293478	4.301006930202956	0.7132918512191332	14141	0.8069318070726573	1.581692670379251	3.097431363727247	6.260816704485749	0.981450696436242
4.729221762790549	0.014382201180906537	4.382512777706434	0.7301219701152168	15574	0.8078375441953415	1.5834555611524055	3.1457662016381436	6.312677323942954	0.981450696436242
4.779298264499431	0.014403622476772796	4.464986803185438	0.759398696222675	17580	0.821523355047842	1.6102670597403843	3.1690312047590465	6.389565324239816	0.981450696436242
4.829332571729066	0.014443724172685935	4.54151222826087	0.7840986299041548	19872	0.8350027285816805	1.6366749666015323	3.1926576051275335	6.466007538330598	0.981450696436242
4.8792918579544935	0.014461033552006721	4.629099482671794	0.7889168959599459	21843	0.8274034195864277	1.621770772695251	3.2575210852592424	6.501062630649745	0.981450696436242
4.9292078432189035	0.014499346207502014	4.702132730202008	0.818076706368165	24207	0.8487838759594152	1.663669015365931	3.2655388278529722	6.592876858584835	0.981450696436242
4.979227179233677	0.014463538166035446	4.767851330319425	0.8251644489984705	26986	0.851606040440046	1.669192036894633	3.3100351423390437	6.6484192161283096	0.981450696436242
5.029187563772505	0.014442032842259738	4.842479286555611	0.8433383935839648	29715	0.8634303213416332	1.6923612692797285	3.336826294492777	6.721548833052234	0.981450696436242
5.079061103534812	0.014391923487299431	4.909146319816373	0.8582201187801581	32675	0.8748186852392832	1.7146766339382011	3.3643844695966107	6.7937377374730135	0.981450696436242
5.128972632599877	0.014420470981537124	4.96743931368682	0.8743101893063103	35494	0.8890123862259482	1.7424916803665762	3.3864809522333004	6.871464312966452	0.981450696436242
5.178984279145632	0.014483455238753811	5.024175870550162	0.8742551976624426	38625	0.8876221992049659	1.7397620614135962	3.4392222177320355	6.9187463405592275	0.981450696436242
